,page_id,page_ideo_full_year,Other,Trump,Clinton,Johnson,page_name,ideology_from_community
736,254541051349349,1.2715054157577401,0.0,1.0,0.0,0.0,My Favorite Gun,Trump
737,256004367748633,-0.6969438188601706,0.0,0.0,1.0,0.0,HuffPost LatinoVoices,Clinton
738,259536274080316,-0.9873308420851856,0.0,0.0,1.0,0.0,Go Left,Clinton
739,260933440643373,-1.4699858451530763,0.0,0.0,1.0,0.0,UltraViolet,Clinton
740,263103197142872,1.3009097334019033,0.0,1.0,0.0,0.0,The Liberal Offender,Trump
741,263803127085354,-0.9502497841652281,0.0,0.0,1.0,0.0,Storm is Coming,Clinton
742,264018250293331,0.8739603016438685,0.0,1.0,0.0,0.0,Lars Larson,Trump
743,264972983556381,-0.4512052128912399,0.07142857142857142,0.0,0.9285714285714286,0.0,CBS This Morning,Clinton
744,265719336797086,-1.2583401273783006,0.0,0.0,1.0,0.0,Too Informed To Vote Republican,Clinton
745,268311603350722,-1.2621408371991447,0.0,0.0,1.0,0.0,Shareblue,Clinton
746,269626763112769,-1.1959651151775046,0.0,0.0,1.0,0.0,Rock The Slut Vote,Clinton
747,272663052744040,-0.1972212537180886,0.7142857142857143,0.0,0.14285714285714285,0.14285714285714285,Movie Pilot Scifi,Other
748,273863336077899,1.378115061840692,0.0,1.0,0.0,0.0,Doomsday Economy,Trump
749,273864989376427,-0.7468604616037241,0.0,0.0,1.0,0.0,MSNBC,Clinton
750,274793152585613,0.569409403529331,0.0,1.0,0.0,0.0,Geert Wilders supporters,Trump
751,277613075615568,-0.5225966774214027,0.2857142857142857,0.0,0.42857142857142855,0.2857142857142857,Mint Press News,Clinton
752,279933092023507,-0.028996213481031808,0.8571428571428571,0.0,0.0,0.14285714285714285,Mundo Hispánico,Other
753,280920811923248,-1.1538162433534853,0.0,0.0,1.0,0.0,PoliticsNation with Al Sharpton,Clinton
754,281849238620927,-0.17123302329925313,0.6428571428571429,0.0,0.21428571428571427,0.14285714285714285,8Shit,Other
755,282024895179874,1.7663945326847286,0.0,1.0,0.0,0.0,Washington Free Beacon,Trump
756,282658238745234,0.029658479132461,0.14285714285714285,0.14285714285714285,0.0,0.7142857142857143,Contra Culture,Johnson
757,289079127883350,1.0470389183712283,0.0,1.0,0.0,0.0,Newsiosity,Trump
758,289189664545158,1.488478294378577,0.0,1.0,0.0,0.0,Bradlee Dean,Trump
759,289741874474112,2.3726067318475605,0.0,1.0,0.0,0.0,Deneen Borelli,Trump
