,page_id,degree_centrality,eigenvector_centrality,unweighted_eigenvector_centrality,closeness_centrality,week
0,15704546335,0.07184898826315607,0.737967772958935,0.4387819016871044,0.3543210024294793,2016-07-31
1,199098633470668,0.050691324487166095,0.015148126296413296,0.08774316309722012,0.346962931711376,2016-07-31
2,18468761129,0.04948977814927037,0.00965364842093632,0.2058931933381772,0.34576350364963504,2016-07-31
3,346937065399354,0.04879322954759169,0.02437363403175671,0.19632165977200303,0.34418377548885115,2016-07-31
4,205344452828349,0.04821857695120677,0.007206916407246506,0.16295582096779915,0.3476024984736768,2016-07-31
5,5281959998,0.04424824992163828,0.005014166920994706,0.15803560470560116,0.3444280279674721,2016-07-31
6,354522044588660,0.041287918364503885,0.006716243225346425,0.14072326712516328,0.3461354097249015,2016-07-31
7,179035672287016,0.041218263504336015,0.19258156955460584,0.26133497910021536,0.3397287310949441,2016-07-31
8,114517875225866,0.037126040469473764,0.003994169374451911,0.1189124735458885,0.34293590946473457,2016-07-31
9,5550296508,0.03231985511789085,0.01768147724603179,0.12684442448260938,0.3456746879633846,2016-07-31
10,21785951839,0.03110089506495316,0.01978124367520556,0.03724970510592365,0.3277356506337521,2016-07-31
11,10643211755,0.03059589732873612,0.004606043830315948,0.10923989593145136,0.3378831800232818,2016-07-31
12,341163402640457,0.028802284679413506,0.0039064525065284775,0.08023267984914331,0.3430034525106008,2016-07-31
13,86680728811,0.02784453035210532,0.026523899347095405,0.09532194687308204,0.34424380544864713,2016-07-31
14,112723252096438,0.0270609131752168,0.17643187081561393,0.1949435359159519,0.3326554230946415,2016-07-31
15,997108126967413,0.026730052589419427,0.004050569896432875,0.05675216351645005,0.3415472647147043,2016-07-31
16,21898300328,0.026521088008915818,0.00455686961530853,0.07242808627116501,0.3374479968085713,2016-07-31
17,908009612563863,0.024100581618082404,0.0025891650234848413,0.0766466703085848,0.33811084590523394,2016-07-31
18,339226922847416,0.023508515306655518,0.030233620483141467,0.1212851681467825,0.3364585819326537,2016-07-31
19,20950654496,0.02237662382892766,0.0017503748326890482,0.049930466641685836,0.33352860329405404,2016-07-31
20,12566691349,0.022272141538675863,0.014910968868346544,0.058573722821817185,0.3401072958908201,2016-07-31
21,407570359384477,0.021262146066241768,0.0017913458875485374,0.05381484306201727,0.3365350732611142,2016-07-31
22,160389977329803,0.021105422630864068,0.001647001065213697,0.06159506246947154,0.3385245151847786,2016-07-31
23,95475020353,0.020652666039772925,0.35790519785916264,0.13794949446369556,0.3340328549508078,2016-07-31
24,177486166274,0.02019990944868178,0.005325137760026207,0.08218250336576002,0.32726830562433673,2016-07-31
25,59306617060,0.019851635147842443,0.010319991613484928,0.055737165706797404,0.3394404952992433,2016-07-31
26,174742062548592,0.019485947131961133,0.002045884313196411,0.058676665001767436,0.3368988825417055,2016-07-31
27,164305410295882,0.019068017970953925,0.006757580661583985,0.052434674729676084,0.3404123213484955,2016-07-31
28,129255907131113,0.01905060425591196,0.02746996860548872,0.10502125095582378,0.32667247790442355,2016-07-31
29,226821494115353,0.018893880820534253,0.15599983105477466,0.12137135229922412,0.3252048595092159,2016-07-31
