page_id,degree_centrality,eigenvector_centrality,unweighted_eigenvector_centrality,closeness_centrality
15704546335,0.08805338790220363,0.7041493428374832,0.4352965479171538,0.35893255603965224
205344452828349,0.06684177572805156,0.002545660315730102,0.23496695557904787,0.3531150932493367
346937065399354,0.06210772261502986,0.026850626972663227,0.23666963748641104,0.3502327461491261
199098633470668,0.055617488508467844,0.005366887471143237,0.09648528707517834,0.3499667572032833
18468761129,0.04969228654765359,0.004280542171082321,0.1874989458482446,0.3475083257396211
114517875225866,0.04253012232182399,0.0031056575814924557,0.1366255914740381,0.34562311846743954
5550296508,0.042514851182749724,0.01260395386857911,0.15372226699574668,0.348310731648243
339226922847416,0.04013255348716461,0.028812108195418053,0.16911677141668677,0.34385664387942355
5281959998,0.03975077501030802,0.002313031612481016,0.13749736694620532,0.3443141878919143
21898300328,0.039185742864560266,0.0020276255364818736,0.11676082781074223,0.3445116592237826
341163402640457,0.038651252996961045,0.0024995466632174506,0.09832726692915542,0.3469062601335299
354522044588660,0.03694088542064353,0.0023968919300351205,0.11226616600360449,0.34565863310427297
21785951839,0.036253684162301666,0.00445147489791814,0.039610774270220236,0.3371838648593256
10643211755,0.035948261380816394,0.0016554457829890575,0.12112071020169388,0.34204899752157636
62507427296,0.034940366201915,0.0016884977931263037,0.11552770928517953,0.33676529015610596
179035672287016,0.03377975963227097,0.06415091922167805,0.16581395132442692,0.33510800872421176
86680728811,0.03129056396316601,0.010917825742053125,0.10071557538523872,0.34567639315982046
95475020353,0.031260021685017486,0.4927702899660378,0.1742753201662385,0.34082909583077775
59306617060,0.027335338942931754,0.004922481250372602,0.07153272912245691,0.34399026168961394
131201286936061,0.025029396942717958,0.021694149655703106,0.09233100831361467,0.33163906721966024
69813760388,0.024555991631415787,0.1479080581582233,0.13482141132698042,0.335338510626767
107705785934333,0.023593909869737185,0.19445080039669307,0.13451340329843506,0.33444167410591497
12566691349,0.022921979750469588,0.004935238778212451,0.06077336334263699,0.3421220518360957
7976226799,0.02197516912786525,0.0009953268815317152,0.07211747360530356,0.3315769573220523
20950654496,0.021547577233785867,0.0009718104094932085,0.049924153567615044,0.3331070271054576
226821494115353,0.02095200280988959,0.09952760240375952,0.10609524873938721,0.3268252557481134
184859785026060,0.02014263243895362,0.04287599265166106,0.0951935976890925,0.32641931876587815
112723252096438,0.019852480796542615,0.12297831471127321,0.12694890760942412,0.33247490485293857
129255907131113,0.019302719789869128,0.015411374127921615,0.06855044462863352,0.33845266585597406
997108126967413,0.018783501061344167,0.009167219848616476,0.04095734340482837,0.3406599695762198
423006854503882,0.01863078967060153,0.061091304513008385,0.0544817881281647,0.33561285310264927
253968658003230,0.018539162836155948,0.0021496026447787413,0.029266998442236042,0.3378951196154688
155869377766434,0.018386451445413312,0.007037963902029592,0.0735440945606952,0.34191688327573416
157750900979288,0.018386451445413312,0.0004975751210069606,0.04643760643955353,0.3314789364145996
908009612563863,0.017958859551333934,0.0012826738698866864,0.05102515057865609,0.33880377374551873
295199098300,0.017180031458546494,0.0012763771127104566,0.03769576114669008,0.3372041448674368
34226391050,0.017118946902249438,0.01480183287755318,0.06889806993210836,0.33891983341401755
